Iteration	Posterior	Likelihood	Prior	sigma2
2720	-64.39609	-68.87594	4.479849	0.003778374
2730	-64.32171	-68.8334	4.51169	0.003659961
2740	-65.37168	-70.03052	4.658839	0.003159152
2750	-64.43431	-68.90538	4.471072	0.003811682
2760	-64.39947	-68.95768	4.558216	0.003493582
2770	-64.83022	-69.24753	4.417311	0.004022213
2780	-64.35468	-68.89979	4.545112	0.003539663
2790	-64.51473	-69.09476	4.580027	0.003418208
2800	-64.34199	-68.88193	4.53994	0.003558015
2810	-64.79604	-69.21686	4.420821	0.004008119
2820	-64.53131	-68.98513	4.453819	0.003878019
2830	-64.61141	-69.20486	4.593455	0.003372613
2840	-64.57554	-69.16432	4.588785	0.003388402
2850	-65.05042	-69.68642	4.635995	0.003232151
2860	-65.6131	-70.28677	4.67367	0.003112645
2870	-64.33602	-68.83665	4.500628	0.003700673
2880	-66.31158	-71.02135	4.709772	0.003002277
2890	-64.3583	-68.84937	4.491073	0.003736202
2900	-64.67662	-69.27786	4.601247	0.003346435
2910	-64.38946	-68.94516	4.555701	0.003502378
2920	-64.46824	-69.04058	4.572338	0.003444591
2930	-64.32301	-68.85064	4.527626	0.003602101
2940	-64.62631	-69.06674	4.44043	0.003930289
2950	-64.36127	-68.9087	4.547427	0.003531476
2960	-64.54441	-68.99623	4.451819	0.003885782
2970	-64.81948	-69.23788	4.418401	0.004017831
2980	-65.08295	-69.72147	4.63852	0.003224001
2990	-65.01897	-69.41866	4.399686	0.004093731
3000	-64.88825	-69.29985	4.4116	0.004045248
3010	-64.7913	-69.21261	4.421318	0.004006128
3020	-64.5643	-69.15155	4.587254	0.003393593
3030	-64.98787	-69.61884	4.63097	0.003248435
3040	-64.39511	-68.87521	4.480101	0.003777423
3050	-64.35482	-68.89998	4.545162	0.003539482
3060	-64.32189	-68.84816	4.526272	0.00360698
3070	-64.42369	-68.89703	4.473345	0.003803028
3080	-64.32682	-68.85797	4.531143	0.003589455
3090	-64.45443	-69.02426	4.569825	0.003453257
3100	-64.53778	-68.9906	4.452824	0.00388188
3110	-64.879	-69.29149	4.412491	0.004041647
3120	-64.53685	-68.98981	4.452966	0.003881326
3130	-65.10021	-69.49303	4.392818	0.004121946
3140	-66.70782	-71.43508	4.727265	0.002950215
3150	-65.232	-69.88144	4.649431	0.003189014
3160	-65.29412	-69.94783	4.653702	0.003175423
3170	-64.32457	-68.83306	4.508493	0.003671682
3180	-66.17461	-70.49697	4.322361	0.004422842
3190	-64.56442	-69.01329	4.448872	0.00389725
3200	-65.16028	-69.54823	4.387957	0.004142028
3210	-66.1999	-70.52088	4.320982	0.004428943
3220	-66.47531	-70.7818	4.306493	0.004493579
3230	-64.34882	-68.89169	4.542866	0.00354762
3240	-64.38911	-68.94472	4.55561	0.003502695
3250	-64.34324	-68.84031	4.497075	0.003713847
3260	-64.33169	-68.86621	4.534519	0.003577357
3270	-64.38476	-68.86761	4.482854	0.003767039
3280	-64.38789	-68.94317	4.555289	0.003503819
3290	-66.32568	-70.63993	4.31425	0.004458859
3300	-64.32166	-68.83341	4.511749	0.003659747
3310	-64.34349	-68.84045	4.496959	0.003714276
3320	-65.74656	-70.4278	4.681246	0.003089153
3330	-64.32479	-68.85421	4.529415	0.00359566
3340	-65.09069	-69.48429	4.393605	0.004118704
3350	-64.61294	-69.05512	4.442177	0.003923428
3360	-64.3592	-68.84995	4.490756	0.003737389
3370	-64.71162	-69.31675	4.605129	0.003333472
3380	-64.66189	-69.09784	4.435951	0.003947933
3390	-64.88562	-69.29747	4.411853	0.004044225
3400	-65.90676	-70.2443	4.337541	0.004356207
3410	-64.92507	-69.3332	4.408122	0.004059344
3420	-64.36303	-68.91105	4.548015	0.003529401
3430	-64.92616	-69.55193	4.625768	0.003265378
3440	-64.41688	-68.89174	4.474863	0.003797261
3450	-64.7488	-69.35786	4.609061	0.003320388
3460	-64.32692	-68.83339	4.506468	0.003679126
3470	-66.87831	-71.61262	4.734311	0.002929499
3480	-65.3031	-69.95741	4.654307	0.003173502
3490	-65.08587	-69.47987	4.394005	0.004117056
3500	-65.44481	-69.81172	4.366907	0.004230143
3510	-64.7243	-69.33079	4.606491	0.003328934
3520	-64.60429	-69.19684	4.592553	0.003375657
3530	-64.3196	-68.84169	4.522088	0.003622105
3540	-64.46798	-69.04027	4.572291	0.003444752
3550	-64.32036	-68.84425	4.523885	0.0036156
3560	-65.18977	-69.5754	4.385632	0.004151672
3570	-64.44178	-68.91131	4.469535	0.003817548
3580	-64.91382	-69.323	4.409173	0.004055078
3590	-65.59027	-70.2626	4.672333	0.003116809
3600	-66.13003	-70.83117	4.701138	0.003028312
3610	-64.34771	-68.89012	4.542415	0.003549222
3620	-64.67082	-69.2714	4.600586	0.003348649
