Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
371	1	-64.74769	-69.35664	4.608947	0.003320767
372	0	-64.43429	-68.90537	4.471075	0.00381167
373	1	-64.34546	-68.84155	4.496091	0.003717501
374	0	-65.68455	-70.36233	4.677775	0.003099895
375	1	-64.35366	-68.8984	4.544737	0.00354099
376	0	-66.67076	-71.39645	4.725698	0.002954842
377	1	-65.08198	-69.72042	4.638445	0.003224241
378	0	-64.32039	-68.83418	4.513783	0.00365231
379	1	-64.48078	-68.94294	4.462167	0.003845779
380	0	-66.51737	-70.82172	4.304359	0.004503183
381	1	-65.10494	-69.74513	4.640195	0.003218604
382	0	-64.39701	-68.87662	4.479618	0.003779248
383	1	-64.37171	-68.92245	4.550746	0.003519776
384	0	-64.41423	-68.8897	4.475466	0.003794972
385	1	-65.19329	-69.57864	4.385357	0.004152813
386	0	-64.57382	-69.02134	4.447528	0.003902492
387	1	-64.41924	-68.89357	4.474332	0.003799279
388	0	-64.47227	-69.04532	4.573049	0.003442143
389	1	-64.42273	-68.98624	4.563509	0.003475139
390	0	-65.10666	-69.74699	4.640326	0.003218184
391	1	-64.35606	-68.84795	4.491881	0.003733186
392	0	-64.56378	-69.01274	4.448964	0.00389689
393	1	-64.33833	-68.83775	4.499421	0.003705144
394	0	-64.32989	-68.83419	4.504302	0.003687101
395	1	-65.35368	-69.72702	4.37334	0.004203017
396	0	-64.47717	-69.05107	4.573901	0.003439212
397	1	-64.83881	-69.25525	4.416446	0.004025692
398	0	-64.94255	-69.56973	4.627175	0.003260785
399	1	-64.35037	-68.89385	4.543481	0.003545441
400	0	-64.84316	-69.25917	4.416011	0.004027445
401	1	-64.85806	-69.27259	4.414534	0.004033397
402	0	-64.34821	-68.89083	4.542619	0.003548497
403	1	-64.50538	-69.08394	4.578562	0.003423216
404	0	-64.5078	-69.08674	4.578945	0.003421908
405	1	-65.3511	-70.0086	4.657496	0.003163398
406	0	-64.87538	-69.28822	4.412841	0.004040231
407	1	-64.33237	-68.83509	4.502714	0.003692963
408	0	-64.74406	-69.35263	4.60857	0.00332202
409	1	-64.55421	-69.00457	4.45036	0.003891454
410	0	-65.02691	-69.66105	4.634134	0.003238173
411	1	-64.45793	-69.0284	4.570473	0.00345102
412	0	-65.88386	-70.57252	4.68866	0.003066335
413	1	-64.33025	-68.86384	4.533598	0.003580651
414	0	-64.68852	-69.12127	4.432746	0.003960607
415	1	-65.07197	-69.46713	4.395165	0.004112281
416	0	-65.91068	-70.60075	4.690068	0.003062021
417	1	-65.19758	-69.5826	4.385022	0.004154203
418	0	-64.82984	-69.24719	4.417348	0.004022062
419	1	-64.33163	-68.86611	4.534481	0.003577493
420	0	-64.32592	-68.83321	4.507289	0.003676107
421	1	-64.64429	-69.08242	4.438137	0.003939311
422	0	-64.56963	-69.01775	4.448124	0.003900167
423	1	-66.7732	-71.06497	4.29176	0.004560273
424	0	-64.81189	-69.23107	4.419179	0.004014707
425	1	-65.14097	-69.78386	4.642889	0.003209946
426	0	-65.19943	-69.58431	4.384878	0.004154803
427	1	-64.40046	-68.87921	4.478751	0.003782527
428	0	-64.6092	-69.05188	4.442673	0.003921484
429	1	-65.69202	-70.37022	4.678197	0.003098586
430	0	-64.40474	-68.88244	4.477704	0.003786487
431	1	-65.60084	-70.27379	4.672954	0.003114876
432	0	-65.23776	-69.61968	4.381927	0.004167082
433	1	-64.83129	-69.2485	4.417202	0.004022651
434	0	-64.45773	-68.92413	4.466399	0.003829537
435	1	-64.47826	-69.05235	4.574089	0.003438564
436	0	-67.30416	-71.57158	4.267417	0.00467265
437	1	-65.66009	-70.33648	4.676383	0.003104213
438	0	-64.32482	-68.83308	4.508256	0.003672554
439	1	-65.11776	-69.50914	4.39138	0.004127878
440	0	-66.39169	-70.70249	4.310796	0.004474287
441	1	-64.37194	-68.85852	4.486578	0.003753037
442	0	-64.59054	-69.03573	4.445195	0.003911604
443	1	-64.77584	-69.38765	4.611813	0.003311266
444	0	-64.31908	-68.83754	4.518461	0.003635266
