Iteration	Posterior	Likelihood	Prior	correlations[1]	correlations[2]	correlations[3]	correlations[4]	correlations[5]	correlations[6]	correlations[7]	correlations[8]	correlations[9]	correlations[10]	correlations[11]	correlations[12]	correlations[13]	correlations[14]	correlations[15]	correlations[16]	correlations[17]	correlations[18]	correlations[19]	correlations[20]	correlations[21]	correlations[22]	correlations[23]	correlations[24]	correlations[25]	correlations[26]	correlations[27]	correlations[28]	correlations[29]	correlations[30]	correlations[31]	correlations[32]	correlations[33]	correlations[34]	correlations[35]	correlations[36]	proportional_rates[1]	proportional_rates[2]	proportional_rates[3]	proportional_rates[4]	proportional_rates[5]	proportional_rates[6]	proportional_rates[7]	proportional_rates[8]	proportional_rates[9]	relative_rates[1]	relative_rates[2]	relative_rates[3]	relative_rates[4]	relative_rates[5]	relative_rates[6]	relative_rates[7]	relative_rates[8]	relative_rates[9]	sigma2
200	84.03327	72.22137	11.8119	0.280093	0.092658	0.620074	0.457856	0.342739	0.132871	0.415248	0.73686	0.674741	0.0422803	0.344691	0.82964	0.550178	0.0197688	0.561772	-0.171967	0.131396	0.701166	0.423486	-0.0480519	0.446241	0.208904	0.0860914	-0.254228	0.0224385	0.169379	0.57353	0.545154	0.0773681	0.714033	0.7663	-0.153683	0.751989	-0.357716	0.619937	0.213299	0.0530603	0.073401	0.0993978	0.191841	0.0222921	0.0403042	0.150777	0.329891	0.0390358	0.477542	0.660609	0.894581	1.72657	0.200628	0.362738	1.357	2.96902	0.351322	0.4396883
210	84.00738	72.16893	11.83845	0.210649	0.0672159	0.592054	0.503254	0.33677	0.165334	0.397068	0.747052	0.749054	0.0435779	0.344198	0.797415	0.546815	0.0564373	0.520874	-0.192939	0.145833	0.713772	0.441913	-0.0374254	0.459665	0.221232	0.0781142	-0.226873	0.0172362	0.17184	0.582138	0.492496	0.0196826	0.695795	0.777028	-0.172746	0.757096	-0.358221	0.630681	0.211016	0.0514364	0.0689094	0.0963559	0.174182	0.0194216	0.0369535	0.146163	0.368737	0.0378412	0.462928	0.620185	0.867203	1.56764	0.174794	0.332581	1.31547	3.31863	0.340571	0.4281699
220	83.89682	72.07398	11.82284	0.223313	0.0839865	0.580877	0.477638	0.360899	0.201242	0.413384	0.765716	0.721399	0.0313841	0.32679	0.819384	0.553786	0.0697679	0.534469	-0.188712	0.110936	0.701518	0.455117	-0.0154919	0.41901	0.233156	0.0799389	-0.227085	0.0353935	0.164914	0.587996	0.477244	-0.0071578	0.692075	0.765976	-0.119889	0.755601	-0.375693	0.644308	0.232421	0.0472604	0.0673371	0.0941573	0.180578	0.0189784	0.0375583	0.150185	0.366967	0.0369778	0.425343	0.606034	0.847416	1.62521	0.170806	0.338025	1.35166	3.30271	0.3328	0.4349048
230	86.69683	74.86859	11.82823	0.22024	0.0760006	0.574052	0.486306	0.349668	0.196662	0.419097	0.769297	0.735351	-0.0366783	0.353599	0.819962	0.59559	0.0829713	0.539698	-0.161008	0.124837	0.708332	0.456019	-0.0127134	0.413133	0.236057	0.0731632	-0.254007	0.0488521	0.187138	0.591406	0.472506	0.108553	0.688362	0.743537	-0.110708	0.762107	-0.386418	0.641799	0.207097	0.0540732	0.0756441	0.123837	0.186679	0.0217143	0.0429725	0.141321	0.313764	0.039995	0.486658	0.680797	1.11454	1.68011	0.195428	0.386752	1.27189	2.82387	0.359955	0.4325663
240	84.53282	72.51331	12.01951	0.240215	0.0449637	0.549164	0.463769	0.33674	0.215637	0.360875	0.751929	0.791384	-0.060212	0.337322	0.823167	0.586747	0.113947	0.57248	-0.187161	0.190507	0.69682	0.445017	-0.00681318	0.417952	0.216552	0.0372335	-0.196441	0.0112518	0.173746	0.594712	0.452332	0.0915178	0.706035	0.771049	-0.156849	0.750286	-0.361521	0.579926	0.188788	0.0548782	0.071742	0.126361	0.131313	0.0220376	0.0436123	0.154237	0.354252	0.0415669	0.493904	0.645678	1.13725	1.18182	0.198338	0.39251	1.38814	3.18827	0.374102	0.3572574
250	91.84455	79.76201	12.08255	0.270863	0.099423	0.559867	0.472866	0.333756	0.214659	0.35454	0.745167	0.773807	-0.0645177	0.341963	0.838628	0.594854	0.0698181	0.564159	-0.207928	0.205365	0.706514	0.42645	-0.00864431	0.414743	0.211672	0.0360259	-0.188212	-0.0612741	0.182743	0.581448	0.488132	0.109451	0.720768	0.781167	-0.162201	0.748704	-0.370743	0.621275	0.179025	0.0438215	0.0679117	0.113276	0.138718	0.0259217	0.0412738	0.146352	0.383378	0.0393476	0.394394	0.611205	1.01948	1.24846	0.233295	0.371464	1.31716	3.4504	0.354129	0.3354339
260	91.60198	79.66151	11.94047	0.266297	0.121982	0.529703	0.481515	0.363542	0.23278	0.405001	0.764584	0.80238	-0.0574019	0.307212	0.830293	0.60538	0.0505911	0.548122	-0.20181	0.212841	0.716807	0.41622	-0.0203828	0.40204	0.180007	0.072986	-0.150376	-0.0608884	0.196369	0.599257	0.510718	0.145333	0.732154	0.782438	-0.167924	0.745999	-0.324628	0.651294	0.194563	0.0452681	0.0701535	0.117015	0.143297	0.026031	0.0440272	0.148184	0.365377	0.0406466	0.407413	0.631382	1.05314	1.28968	0.234279	0.396245	1.33366	3.28839	0.365819	0.3866426
270	91.6145	79.67274	11.94176	0.257832	0.11629	0.572745	0.447207	0.363739	0.227319	0.371766	0.757253	0.818123	-0.0633249	0.384446	0.843476	0.573278	0.0303987	0.557568	-0.176927	0.177145	0.697819	0.417563	-0.0394192	0.410404	0.173794	0.0670805	-0.189101	-0.0816906	0.216947	0.605232	0.526895	0.154346	0.73098	0.781984	-0.15473	0.739477	-0.342009	0.643139	0.209121	0.0420796	0.0697012	0.110528	0.184274	0.02507	0.0423355	0.147229	0.338398	0.0403845	0.378716	0.627311	0.994754	1.65847	0.22563	0.38102	1.32506	3.04558	0.36346	0.3861451
280	93.57987	81.68518	11.8947	0.240067	0.135659	0.58475	0.471766	0.367069	0.238326	0.371596	0.751482	0.80199	-0.0743241	0.392091	0.847748	0.624068	0.0349945	0.572874	-0.124701	0.18842	0.732978	0.424742	-0.0473866	0.416111	0.175179	0.100753	-0.171261	-0.0427699	0.181616	0.595539	0.546557	0.182496	0.706248	0.783207	-0.172676	0.733379	-0.36596	0.68831	0.203574	0.0433204	0.0717565	0.107049	0.161576	0.0296096	0.0435839	0.152309	0.348376	0.0424191	0.389884	0.645809	0.963444	1.45418	0.266487	0.392255	1.37078	3.13539	0.381772	0.4047509
290	89.92028	77.99759	11.92269	0.268026	0.131349	0.590554	0.466502	0.357838	0.232584	0.371019	0.763361	0.788968	-0.0590453	0.393945	0.854738	0.615169	0.0389508	0.579133	-0.112318	0.176042	0.718953	0.378962	-0.097958	0.403551	0.172501	0.0951097	-0.169506	-0.0435016	0.174445	0.600916	0.525172	0.195162	0.680486	0.774705	-0.186096	0.714378	-0.355019	0.690994	0.168095	0.0441125	0.0620048	0.0902416	0.162298	0.030151	0.0414651	0.155093	0.37144	0.0431946	0.397012	0.558043	0.812174	1.46068	0.271359	0.373186	1.39584	3.34296	0.388751	0.3935799
300	89.39357	77.5803	11.81328	0.277586	0.140729	0.564365	0.437921	0.362301	0.282419	0.344571	0.768274	0.782778	-0.0449847	0.389857	0.853581	0.611353	0.0134549	0.531269	-0.119669	0.202681	0.723001	0.395296	-0.0689202	0.397293	0.138213	0.0995937	-0.170935	-0.0537132	0.18148	0.573383	0.529583	0.238439	0.672496	0.784424	-0.192934	0.713916	-0.354544	0.669946	0.168585	0.0448067	0.0629805	0.0916617	0.152777	0.02917	0.0421176	0.157534	0.377285	0.0416677	0.40326	0.566825	0.824955	1.37499	0.26253	0.379059	1.41781	3.39556	0.375009	0.4390853
